iteration,cgroups_enabled,result
0,false,257.49
0,true,209.22
1,false,244.16
1,true,218.99
2,false,257.23
2,true,205.67
3,false,267.80
3,true,208.54
4,false,258.24
4,true,207.13
5,false,256.27
5,true,208.17
6,false,251.45
6,true,209.22
7,false,255.66
7,true,218.40
8,false,257.04
8,true,220.25
9,false,263.05
9,true,209.65
10,false,245.75
10,true,206.76
